user_id,product_id,category,price_tier,price,avg_rating,review_count,session_duration_seconds,time_of_day,day_of_week,is_weekend,page_views_in_session,items_in_cart,user_total_purchases,purchased,interaction_date
USER_00491,PROD_0161,Toys,budget,19.35,3.9,907,308,12,6,1,16,4,50,0,2024-03-31
USER_00249,PROD_0167,Sports,premium,272.03,5.0,630,412,8,3,0,12,0,36,0,2024-07-11
USER_00205,PROD_0304,Clothing,mid-range,83.22,4.3,367,573,5,6,1,1,5,29,0,2024-10-06
USER_00966,PROD_0363,Home & Kitchen,premium,272.43,3.1,1347,80,14,2,0,14,5,31,0,2024-04-17
USER_00143,PROD_0325,Electronics,premium,161.77,4.9,704,167,7,1,0,14,3,4,1,2024-06-04
USER_00460,PROD_0307,Sports,budget,16.72,4.3,1635,528,18,0,0,14,4,2,1,2024-09-02
USER_00810,PROD_0496,Toys,premium,215.49,4.5,1681,559,22,2,0,20,5,5,0,2024-07-03
USER_00112,PROD_0394,Clothing,mid-range,52.59,4.4,713,180,21,1,0,20,0,36,0,2024-05-07
USER_00661,PROD_0347,Books,luxury,377.83,3.6,621,349,12,2,0,14,0,0,0,2024-11-27
USER_00101,PROD_0133,Beauty,budget,19.1,3.4,1437,581,16,1,0,19,5,36,0,2024-04-23
USER_00227,PROD_0229,Beauty,mid-range,73.98,4.8,1328,522,12,2,0,5,2,1,0,2024-07-10
USER_00495,PROD_0054,Home & Kitchen,luxury,499.67,4.4,1501,97,13,4,0,4,5,9,0,2024-05-31
USER_00357,PROD_0160,Beauty,mid-range,74.65,4.5,215,543,14,0,0,16,2,30,0,2024-06-24
USER_00100,PROD_0225,Electronics,luxury,492.14,4.1,1409,317,14,6,1,2,5,7,0,2024-12-22
USER_00024,PROD_0435,Beauty,mid-range,66.31,4.1,1361,178,20,0,0,8,4,11,1,2024-06-24
USER_00566,PROD_0082,Home & Kitchen,luxury,861.56,4.7,1665,483,17,1,0,8,3,40,0,2024-06-18
USER_00189,PROD_0096,Home & Kitchen,mid-range,43.43,4.3,781,39,21,5,1,20,1,28,0,2024-11-23
USER_00607,PROD_0220,Toys,luxury,930.85,4.4,328,220,0,3,0,9,5,50,0,2024-07-18
USER_00065,PROD_0296,Sports,luxury,796.65,3.8,240,343,17,3,0,7,3,7,0,2024-02-22
USER_00269,PROD_0344,Toys,luxury,787.25,3.3,1449,330,16,5,1,20,3,39,0,2024-09-07
USER_00402,PROD_0301,Home & Kitchen,mid-range,35.35,4.3,1091,478,11,2,0,20,1,43,0,2024-02-28
USER_00723,PROD_0410,Toys,premium,286.75,4.4,393,147,19,5,1,11,0,15,0,2024-06-01
USER_00313,PROD_0060,Books,budget,20.48,3.8,1200,533,11,2,0,13,3,38,0,2024-04-03
USER_00142,PROD_0295,Electronics,luxury,944.81,4.7,1184,560,13,0,0,6,4,10,1,2024-07-15
USER_00502,PROD_0148,Clothing,luxury,448.48,4.6,702,471,5,1,0,20,0,22,0,2024-03-12
USER_00975,PROD_0005,Books,luxury,454.31,4.2,1662,403,4,3,0,18,4,41,0,2024-09-05
USER_00507,PROD_0210,Home & Kitchen,luxury,754.89,4.7,1750,464,15,0,0,16,1,5,0,2024-12-16
USER_00579,PROD_0016,Clothing,mid-range,62.36,3.5,1900,240,9,0,0,18,2,10,1,2024-04-22
USER_00800,PROD_0235,Sports,budget,8.52,4.9,1766,517,23,2,0,18,4,7,0,2024-10-16
USER_00587,PROD_0059,Sports,budget,28.54,4.1,1190,385,17,4,0,18,0,48,0,2024-05-17
USER_00737,PROD_0226,Toys,budget,27.77,4.5,1710,114,6,6,1,8,2,2,0,2024-10-06
USER_00461,PROD_0135,Beauty,budget,24.44,3.3,642,130,2,3,0,8,1,47,0,2024-06-27
USER_00603,PROD_0353,Home & Kitchen,budget,28.84,4.1,1615,448,22,4,0,6,4,8,0,2024-06-28
USER_00804,PROD_0106,Clothing,mid-range,75.92,3.0,1542,555,1,0,0,9,4,34,0,2024-04-15
USER_00173,PROD_0166,Sports,mid-range,84.3,3.8,1865,283,9,3,0,17,5,6,0,2024-12-26
USER_00139,PROD_0493,Electronics,luxury,718.45,4.4,104,139,1,0,0,5,1,9,0,2024-07-29
USER_00729,PROD_0165,Home & Kitchen,budget,29.85,3.2,1570,155,21,0,0,19,5,17,0,2024-05-06
USER_00643,PROD_0213,Clothing,premium,299.49,4.5,893,105,14,3,0,13,4,47,1,2024-07-11
USER_00285,PROD_0356,Electronics,premium,148.23,4.3,217,345,14,6,1,19,0,49,0,2024-07-07
USER_00868,PROD_0376,Books,mid-range,77.53,4.9,766,376,23,5,1,3,4,25,0,2024-02-17
USER_00224,PROD_0496,Toys,premium,215.49,4.5,1681,340,6,2,0,10,2,35,0,2024-08-07
USER_00592,PROD_0067,Books,premium,222.34,5.0,1344,59,15,2,0,2,0,40,0,2024-10-16
USER_00803,PROD_0429,Beauty,budget,19.92,3.5,1347,171,0,4,0,15,3,0,1,2024-08-23
USER_00982,PROD_0220,Toys,luxury,930.85,4.4,328,319,22,5,1,6,2,5,0,2024-04-13
USER_00671,PROD_0185,Home & Kitchen,premium,234.03,4.7,680,179,2,2,0,2,3,40,0,2024-05-08
USER_00313,PROD_0372,Electronics,budget,21.78,3.8,1055,103,7,1,0,4,0,13,0,2024-12-24
USER_00489,PROD_0040,Clothing,mid-range,34.48,3.0,1139,465,18,4,0,1,0,44,0,2024-03-08
USER_00352,PROD_0419,Books,premium,265.06,4.2,1256,499,13,5,1,3,1,24,0,2024-03-02
USER_00092,PROD_0375,Beauty,premium,172.43,4.9,71,316,3,3,0,5,3,49,1,2024-02-22
USER_00833,PROD_0386,Clothing,mid-range,46.57,4.0,744,156,20,5,1,3,4,36,0,2024-03-09
USER_00009,PROD_0313,Electronics,luxury,372.45,4.8,708,228,5,3,0,5,3,39,0,2024-11-28
USER_00704,PROD_0227,Home & Kitchen,mid-range,72.49,3.7,1308,153,2,6,1,4,4,46,0,2024-04-21
USER_00394,PROD_0180,Home & Kitchen,budget,7.28,4.9,1717,263,10,2,0,9,5,5,0,2024-08-07
USER_00255,PROD_0284,Sports,premium,131.48,3.6,669,301,19,6,1,1,5,19,0,2024-11-03
USER_00211,PROD_0266,Sports,luxury,369.42,4.4,1751,411,16,2,0,10,5,3,0,2024-11-06
USER_00803,PROD_0460,Beauty,luxury,753.8,4.4,33,256,15,3,0,16,5,38,0,2024-05-02
USER_00073,PROD_0271,Sports,budget,23.61,3.7,271,145,11,6,1,13,4,26,0,2024-01-07
USER_00375,PROD_0280,Home & Kitchen,budget,9.51,4.4,637,84,5,6,1,1,4,4,0,2024-12-15
USER_00015,PROD_0135,Beauty,budget,24.44,3.3,642,417,1,5,1,17,2,40,0,2024-04-20
USER_00730,PROD_0257,Books,premium,103.16,3.5,264,94,13,2,0,18,4,39,0,2024-07-31
USER_00157,PROD_0143,Clothing,luxury,423.3,4.0,1337,218,9,0,0,5,4,20,1,2024-02-12
USER_00401,PROD_0301,Home & Kitchen,mid-range,35.35,4.3,1091,77,20,2,0,10,5,27,0,2024-11-20
USER_00748,PROD_0489,Beauty,luxury,672.35,4.6,511,454,1,3,0,4,3,39,0,2024-05-02
USER_00624,PROD_0029,Sports,mid-range,61.76,4.9,1798,189,21,4,0,4,0,45,0,2024-06-07
USER_00141,PROD_0360,Sports,budget,12.34,3.1,413,365,5,5,1,17,4,50,0,2024-01-06
USER_00843,PROD_0370,Clothing,luxury,546.08,3.1,1786,285,5,6,1,4,0,21,0,2024-05-12
USER_00827,PROD_0220,Toys,luxury,930.85,4.4,328,600,16,6,1,3,3,29,1,2024-05-19
USER_00524,PROD_0185,Home & Kitchen,premium,234.03,4.7,680,180,15,0,0,12,1,16,0,2024-01-29
USER_00792,PROD_0053,Sports,budget,9.12,3.0,804,243,21,6,1,17,0,2,0,2024-10-20
USER_00880,PROD_0442,Beauty,premium,157.56,4.1,1117,382,7,6,1,13,1,11,1,2024-01-07
USER_00954,PROD_0492,Toys,budget,11.02,3.1,1221,439,17,4,0,8,2,15,0,2024-01-19
USER_00427,PROD_0469,Beauty,premium,238.06,4.3,1931,595,8,2,0,12,0,32,0,2024-06-12
USER_00690,PROD_0462,Clothing,mid-range,72.77,4.3,835,538,5,5,1,2,3,4,1,2024-01-27
USER_00899,PROD_0239,Home & Kitchen,budget,21.87,3.9,1273,576,9,4,0,15,0,23,1,2024-05-24
USER_00206,PROD_0150,Electronics,mid-range,80.41,4.0,1557,258,9,1,0,15,2,37,0,2024-10-15
USER_00996,PROD_0253,Books,mid-range,86.91,3.5,1590,261,23,2,0,5,0,26,0,2024-04-10
USER_00025,PROD_0120,Sports,budget,28.57,3.6,803,19,11,4,0,11,0,48,0,2024-10-04
USER_00674,PROD_0193,Clothing,mid-range,51.75,3.0,840,253,3,3,0,14,3,3,0,2024-06-06
USER_00996,PROD_0073,Beauty,luxury,880.54,3.1,688,247,8,0,0,17,3,44,0,2024-12-30
USER_00918,PROD_0191,Home & Kitchen,mid-range,94.94,3.9,1435,107,23,3,0,17,1,40,1,2024-08-22
USER_00840,PROD_0202,Home & Kitchen,premium,210.38,4.1,937,455,18,3,0,5,1,18,0,2024-02-08
USER_00268,PROD_0436,Sports,luxury,519.63,3.3,1873,344,12,0,0,11,3,17,0,2024-06-10
USER_00240,PROD_0039,Beauty,premium,187.62,4.0,252,121,4,5,1,5,0,10,0,2024-04-13
USER_00461,PROD_0239,Home & Kitchen,budget,21.87,3.9,1273,376,13,6,1,7,3,19,1,2024-06-09
USER_00475,PROD_0136,Electronics,budget,28.22,4.2,1864,321,2,5,1,20,0,13,1,2024-03-02
USER_00856,PROD_0439,Home & Kitchen,premium,144.97,4.9,614,264,4,6,1,12,3,32,1,2024-06-16
USER_00051,PROD_0347,Books,luxury,377.83,3.6,621,188,8,6,1,1,3,28,0,2024-06-02
USER_00570,PROD_0384,Books,premium,278.27,4.7,1462,114,7,1,0,5,0,0,1,2024-10-08
USER_00064,PROD_0426,Books,luxury,796.12,3.6,1675,420,4,1,0,12,5,40,0,2024-04-23
USER_00961,PROD_0331,Beauty,mid-range,97.87,4.2,1545,86,18,1,0,1,0,12,0,2024-02-13
USER_00925,PROD_0331,Beauty,mid-range,97.87,4.2,1545,349,4,3,0,4,0,29,1,2024-08-15
USER_00052,PROD_0087,Toys,budget,29.17,3.6,1318,414,13,6,1,16,0,24,0,2024-10-20
USER_00700,PROD_0219,Sports,premium,191.91,4.3,1845,201,11,4,0,9,2,28,1,2024-03-29
USER_00905,PROD_0077,Books,mid-range,60.09,3.1,751,261,19,3,0,10,3,26,0,2024-01-18
USER_00904,PROD_0282,Beauty,luxury,348.71,4.5,1995,402,1,0,0,5,3,12,1,2024-09-02
USER_00659,PROD_0453,Beauty,mid-range,67.46,4.4,1923,566,7,3,0,1,3,50,0,2024-09-26
USER_00731,PROD_0184,Sports,luxury,978.34,3.9,841,362,17,0,0,19,4,20,0,2024-09-02
USER_00398,PROD_0139,Beauty,budget,24.91,4.1,89,234,0,1,0,1,2,3,1,2024-04-02
USER_00829,PROD_0242,Electronics,mid-range,33.17,3.1,1013,248,11,5,1,6,0,15,0,2024-09-28
USER_00673,PROD_0124,Beauty,mid-range,88.84,4.8,1279,67,17,3,0,8,4,24,0,2024-05-16
USER_00364,PROD_0479,Sports,luxury,694.74,4.1,1382,335,5,4,0,12,4,1,0,2024-03-29
USER_00721,PROD_0359,Sports,mid-range,86.8,3.1,1594,586,18,5,1,7,3,34,0,2024-06-29
USER_00317,PROD_0090,Home & Kitchen,budget,7.71,3.9,1497,248,1,6,1,20,1,1,1,2024-09-08
USER_00540,PROD_0245,Books,luxury,711.14,4.5,1818,216,10,0,0,5,2,45,0,2024-01-01
USER_00182,PROD_0471,Sports,mid-range,61.85,5.0,770,155,1,4,0,4,4,23,1,2024-06-14
USER_00984,PROD_0038,Clothing,mid-range,79.91,3.8,1380,415,22,2,0,19,0,21,0,2024-07-10
USER_00310,PROD_0166,Sports,mid-range,84.3,3.8,1865,457,5,6,1,16,5,20,0,2024-03-10
USER_00179,PROD_0363,Home & Kitchen,premium,272.43,3.1,1347,375,22,0,0,8,5,37,0,2024-10-14
USER_00835,PROD_0090,Home & Kitchen,budget,7.71,3.9,1497,311,9,4,0,5,1,46,0,2024-07-12
USER_00002,PROD_0486,Toys,mid-range,75.75,3.7,370,591,18,2,0,2,1,38,0,2024-12-25
USER_00326,PROD_0472,Sports,luxury,830.15,4.6,1695,116,7,5,1,16,1,21,0,2024-11-09
USER_00764,PROD_0040,Clothing,mid-range,34.48,3.0,1139,181,11,2,0,3,5,42,0,2024-05-01
USER_00655,PROD_0374,Beauty,luxury,324.36,3.1,1599,224,14,3,0,8,5,4,1,2024-06-20
USER_00359,PROD_0132,Toys,budget,20.53,3.5,974,405,23,6,1,15,5,26,1,2024-02-25
USER_00993,PROD_0086,Clothing,budget,21.5,3.8,575,369,15,1,0,18,3,6,0,2024-07-30
USER_00849,PROD_0246,Sports,budget,25.84,4.2,1928,240,20,1,0,6,3,4,0,2024-10-22
USER_00819,PROD_0434,Books,luxury,910.97,4.5,132,277,9,3,0,4,0,21,1,2024-01-18
USER_00175,PROD_0455,Electronics,luxury,851.57,3.4,1538,570,5,3,0,3,2,38,0,2024-07-11
USER_00629,PROD_0458,Beauty,luxury,922.48,3.3,1037,178,22,2,0,20,3,10,1,2024-09-04
USER_00055,PROD_0052,Clothing,mid-range,58.45,4.0,1775,429,6,1,0,18,5,46,0,2024-06-18
USER_00554,PROD_0136,Electronics,budget,28.22,4.2,1864,108,9,2,0,2,3,36,1,2024-12-04
USER_00563,PROD_0431,Books,luxury,403.44,4.4,69,13,4,6,1,14,0,18,1,2024-09-08
USER_00844,PROD_0339,Sports,mid-range,88.17,3.2,1869,109,19,5,1,1,1,10,0,2024-11-16
USER_00654,PROD_0150,Electronics,mid-range,80.41,4.0,1557,325,15,6,1,13,3,31,0,2024-02-11
USER_00917,PROD_0339,Sports,mid-range,88.17,3.2,1869,406,2,2,0,6,2,24,0,2024-05-15
USER_00379,PROD_0096,Home & Kitchen,mid-range,43.43,4.3,781,486,1,4,0,9,1,17,0,2024-08-16
USER_00578,PROD_0032,Clothing,premium,252.5,4.1,1599,97,22,0,0,12,4,26,0,2024-03-18
USER_00995,PROD_0388,Books,budget,6.64,3.8,1473,406,7,0,0,17,3,34,0,2024-10-28
USER_00704,PROD_0444,Clothing,premium,108.41,4.9,166,497,18,5,1,10,0,25,0,2024-08-31
USER_00925,PROD_0438,Beauty,premium,222.02,3.4,509,539,1,1,0,19,5,39,0,2024-12-31
USER_00151,PROD_0062,Home & Kitchen,mid-range,48.59,3.3,1326,181,5,5,1,7,1,8,0,2024-08-17
USER_00044,PROD_0217,Beauty,mid-range,41.9,3.2,1788,161,21,5,1,20,2,20,0,2024-02-10
USER_00933,PROD_0373,Toys,mid-range,96.7,3.3,1249,416,2,6,1,18,2,17,0,2024-02-04
USER_00533,PROD_0235,Sports,budget,8.52,4.9,1766,545,22,6,1,14,0,26,0,2024-01-07
USER_00154,PROD_0076,Beauty,mid-range,68.19,4.7,1197,112,18,3,0,4,4,49,0,2024-10-17
USER_00104,PROD_0403,Sports,premium,190.71,4.4,328,430,17,6,1,9,3,41,0,2024-05-26
USER_00498,PROD_0293,Books,mid-range,65.02,4.7,1656,292,15,3,0,13,1,39,1,2024-11-07
USER_00624,PROD_0349,Sports,budget,7.77,4.8,1227,349,12,5,1,8,0,47,1,2024-12-21
USER_00487,PROD_0472,Sports,luxury,830.15,4.6,1695,320,11,4,0,10,2,31,1,2024-05-17
USER_00879,PROD_0357,Toys,premium,126.68,3.7,698,243,3,0,0,5,2,47,0,2024-12-16
USER_00454,PROD_0397,Electronics,mid-range,71.43,4.2,355,101,8,3,0,7,3,13,0,2024-06-13
USER_00936,PROD_0422,Sports,budget,6.13,3.3,687,538,23,5,1,12,0,32,0,2024-07-27
USER_00811,PROD_0082,Home & Kitchen,luxury,861.56,4.7,1665,423,9,5,1,5,4,36,0,2024-02-03
USER_00030,PROD_0089,Electronics,budget,26.93,3.5,1194,265,6,0,0,2,3,3,0,2024-04-08
USER_00941,PROD_0185,Home & Kitchen,premium,234.03,4.7,680,485,6,3,0,17,3,40,1,2024-12-26
USER_00946,PROD_0064,Electronics,luxury,734.81,4.1,209,510,0,5,1,20,3,11,0,2024-12-14
USER_00984,PROD_0446,Clothing,premium,286.6,4.4,286,362,18,4,0,6,2,47,0,2024-08-30
USER_00851,PROD_0353,Home & Kitchen,budget,28.84,4.1,1615,60,9,4,0,6,4,49,1,2024-02-16
USER_00989,PROD_0110,Books,premium,290.01,4.8,1259,221,20,1,0,9,5,26,1,2024-04-23
USER_00526,PROD_0011,Books,premium,215.47,4.4,98,145,0,6,1,6,4,0,0,2024-12-15
USER_00230,PROD_0130,Beauty,budget,30.0,3.7,1336,291,9,3,0,14,3,22,0,2024-11-07
USER_00471,PROD_0130,Beauty,budget,30.0,3.7,1336,543,14,6,1,20,3,37,0,2024-04-21
USER_00105,PROD_0004,Books,budget,19.03,4.4,1441,393,21,2,0,18,5,38,0,2024-09-18
USER_00624,PROD_0145,Home & Kitchen,premium,270.34,4.7,182,75,21,5,1,11,2,40,1,2024-06-01
USER_00333,PROD_0442,Beauty,premium,157.56,4.1,1117,315,8,1,0,7,1,33,0,2024-05-21
USER_00784,PROD_0124,Beauty,mid-range,88.84,4.8,1279,337,19,1,0,5,5,1,0,2024-01-30
USER_00672,PROD_0255,Books,premium,259.7,3.2,1779,424,8,4,0,13,5,2,0,2024-05-31
USER_00598,PROD_0363,Home & Kitchen,premium,272.43,3.1,1347,237,6,5,1,18,5,50,0,2024-10-19
USER_00488,PROD_0465,Clothing,budget,11.52,3.5,1548,184,11,0,0,18,1,18,0,2024-12-09
USER_00100,PROD_0242,Electronics,mid-range,33.17,3.1,1013,582,23,2,0,6,5,21,0,2024-03-06
USER_00671,PROD_0046,Sports,luxury,904.69,3.1,1343,324,11,1,0,14,2,23,0,2024-04-23
USER_00267,PROD_0300,Electronics,luxury,909.37,4.5,458,491,14,3,0,2,5,37,0,2024-05-30
USER_00595,PROD_0484,Clothing,luxury,562.12,4.8,923,209,2,2,0,17,0,43,0,2024-11-13
USER_00391,PROD_0272,Books,budget,19.66,4.1,680,164,13,5,1,5,1,21,1,2024-06-01
USER_00420,PROD_0292,Electronics,luxury,822.91,3.4,783,194,4,3,0,3,3,21,0,2024-08-22
USER_00647,PROD_0091,Toys,premium,187.28,5.0,241,472,20,6,1,9,1,48,1,2024-06-09
USER_00793,PROD_0087,Toys,budget,29.17,3.6,1318,100,5,1,0,5,4,27,0,2024-10-22
USER_00649,PROD_0220,Toys,luxury,930.85,4.4,328,402,13,3,0,1,0,34,0,2024-07-25
USER_00205,PROD_0375,Beauty,premium,172.43,4.9,71,553,0,2,0,7,0,43,0,2024-07-10
USER_00005,PROD_0321,Home & Kitchen,premium,293.54,4.4,807,362,7,1,0,10,1,6,0,2024-05-07
USER_00393,PROD_0258,Beauty,luxury,668.26,4.5,980,56,9,0,0,10,2,29,1,2024-10-28
USER_00746,PROD_0267,Beauty,mid-range,60.1,4.8,852,147,16,4,0,11,3,22,1,2024-11-01
USER_00769,PROD_0097,Beauty,mid-range,73.09,3.6,1127,239,12,0,0,5,1,46,1,2024-03-25
USER_00023,PROD_0302,Books,mid-range,93.41,3.7,1494,48,5,6,1,13,5,16,1,2024-09-15
USER_00790,PROD_0274,Toys,luxury,907.66,4.4,1988,59,1,4,0,4,5,1,0,2024-11-15
USER_00050,PROD_0354,Books,budget,14.76,3.9,1306,136,13,3,0,18,2,30,0,2024-02-29
USER_00719,PROD_0079,Beauty,budget,13.84,4.1,1796,19,22,0,0,10,3,42,0,2024-04-15
USER_00104,PROD_0340,Clothing,luxury,919.24,4.9,854,150,8,0,0,14,0,32,0,2024-09-23
USER_00737,PROD_0317,Toys,premium,235.78,3.1,1297,118,9,4,0,16,1,38,0,2024-03-01
USER_00205,PROD_0399,Toys,budget,7.03,4.9,1584,376,16,1,0,14,2,10,0,2024-05-14
USER_00041,PROD_0281,Home & Kitchen,premium,101.22,4.7,1164,502,6,2,0,11,1,0,0,2024-09-11
USER_00014,PROD_0344,Toys,luxury,787.25,3.3,1449,515,3,3,0,5,0,49,0,2024-02-15
USER_00524,PROD_0039,Beauty,premium,187.62,4.0,252,477,8,2,0,10,2,29,0,2024-02-21
USER_00052,PROD_0052,Clothing,mid-range,58.45,4.0,1775,378,1,5,1,11,3,47,0,2024-03-30
USER_00119,PROD_0049,Clothing,luxury,428.44,3.9,1795,184,0,2,0,11,2,28,0,2024-01-24
USER_00979,PROD_0319,Sports,premium,150.4,4.7,1980,360,23,4,0,6,0,25,1,2024-05-17
USER_00410,PROD_0493,Electronics,luxury,718.45,4.4,104,499,8,2,0,14,5,10,0,2024-08-21
USER_00116,PROD_0068,Books,budget,21.7,4.1,1913,173,23,6,1,4,3,37,1,2024-12-22
USER_00495,PROD_0411,Toys,mid-range,64.88,4.0,1026,398,21,4,0,12,4,1,0,2024-10-18
USER_00884,PROD_0351,Clothing,premium,185.85,4.2,497,125,15,3,0,14,3,2,0,2024-03-07
USER_00065,PROD_0134,Home & Kitchen,premium,133.56,4.2,1536,547,10,6,1,19,5,36,1,2024-12-01
USER_00230,PROD_0490,Sports,premium,131.02,3.4,1797,107,10,6,1,14,5,46,0,2024-12-08
USER_00255,PROD_0247,Home & Kitchen,budget,22.26,3.4,915,404,21,2,0,5,4,39,0,2024-06-26
USER_00056,PROD_0006,Toys,budget,23.97,3.3,870,490,5,0,0,16,1,4,0,2024-11-25
USER_00770,PROD_0252,Toys,mid-range,34.8,4.5,429,294,7,3,0,2,4,14,0,2024-06-13
USER_00564,PROD_0330,Toys,mid-range,80.48,3.1,751,90,12,4,0,15,3,36,0,2024-07-12
USER_00459,PROD_0046,Sports,luxury,904.69,3.1,1343,519,14,3,0,1,0,25,0,2024-09-12
USER_00423,PROD_0019,Home & Kitchen,budget,10.27,4.9,1799,103,17,5,1,20,4,40,1,2024-10-12
USER_00312,PROD_0456,Toys,premium,275.35,3.0,1168,477,17,1,0,11,2,3,0,2024-09-17
USER_00837,PROD_0115,Home & Kitchen,premium,163.94,4.1,288,494,10,1,0,12,5,28,0,2024-08-20
USER_00117,PROD_0050,Electronics,luxury,865.62,4.7,205,373,7,1,0,10,4,33,1,2024-12-03
USER_00383,PROD_0360,Sports,budget,12.34,3.1,413,514,1,5,1,5,5,47,0,2024-02-24
USER_00739,PROD_0210,Home & Kitchen,luxury,754.89,4.7,1750,202,8,5,1,4,3,13,0,2024-02-24
USER_00469,PROD_0423,Toys,luxury,663.53,3.3,1834,434,22,6,1,2,5,43,0,2024-04-07
USER_00603,PROD_0064,Electronics,luxury,734.81,4.1,209,526,14,6,1,5,3,0,0,2024-08-18
USER_00544,PROD_0377,Sports,budget,19.35,4.1,820,504,17,3,0,17,1,44,0,2024-01-25
USER_00593,PROD_0089,Electronics,budget,26.93,3.5,1194,339,3,2,0,17,3,26,0,2024-03-06
USER_00624,PROD_0469,Beauty,premium,238.06,4.3,1931,361,7,4,0,10,3,8,0,2024-12-20
